                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.71751,                 2.6269,                  1.179,                0.80422,                0.93509,                0.92374,                0.86584,                0.33531,                0.76814,                0.81176,               0.070462,              0.0032821,              0.0032821
                      1,                0.54633,                0.89283,                 1.0289,                0.96175,                0.96666,                 0.9875,                0.92241,                 0.3706,                0.36208,                0.83611,               0.040134,              0.0062879,              0.0062879
                      2,                0.61749,                0.79414,                 1.0477,                 0.8591,                0.98404,                0.98158,                0.88137,                0.50669,                0.64939,                0.89439,              0.0094766,              0.0089638,              0.0089638
                      3,                0.62897,                0.74749,                 1.0635,                0.83985,                0.90781,                0.89551,                0.81091,                0.47597,                0.74985,                0.86622,               0.008515,               0.008515,               0.008515
                      4,                0.65015,                0.70905,                  1.086,                0.90633,                0.89046,                0.94373,                0.83523,                0.57687,                0.77299,                0.97846,               0.008515,               0.008515,               0.008515
                      5,                0.63905,                0.69256,                 1.0624,                0.90313,                0.97635,                0.97287,                0.87215,                0.51231,                0.46778,                0.92387,                0.00802,                0.00802,                0.00802
                      6,                0.63843,                 0.6652,                 1.0703,                0.90581,                      1,                 0.9815,                0.88722,                0.50796,                0.43263,                0.89593,               0.007525,               0.007525,               0.007525
                      7,                0.59121,                0.59951,                 1.0438,                0.91714,                0.99774,                0.97206,                 0.8712,                 0.5103,                 0.4075,                0.89233,                0.00703,                0.00703,                0.00703
                      8,                0.59205,                0.64708,                 1.0589,                0.92433,                      1,                0.98588,                0.90073,                0.45548,                0.43966,                0.87288,               0.006535,               0.006535,               0.006535
                      9,                0.57445,                0.57031,                 1.0394,                0.93511,                      1,                0.98329,                0.90406,                0.46134,                 0.3894,                0.88413,                0.00604,                0.00604,                0.00604
                     10,                0.58071,                0.56865,                 1.0459,                0.92681,                0.97294,                0.97375,                0.89777,                0.45347,                0.40084,                0.86026,               0.005545,               0.005545,               0.005545
                     11,                0.54611,                0.54808,                 1.0252,                0.93223,                0.99376,                0.97788,                0.90287,                0.43936,                0.34405,                0.85328,                0.00505,                0.00505,                0.00505
                     12,                0.51087,                0.50995,                 1.0101,                0.90693,                0.96885,                0.97568,                 0.9128,                0.44772,                0.38008,                0.86789,               0.004555,               0.004555,               0.004555
                     13,                0.50621,                0.49942,                 1.0004,                0.93856,                   0.98,                0.97868,                0.91668,                0.44195,                 0.3269,                0.86366,                0.00406,                0.00406,                0.00406
                     14,                0.49612,                0.47232,                 1.0098,                0.92737,                0.98652,                0.98806,                0.93029,                0.42668,                0.34711,                0.85309,               0.003565,               0.003565,               0.003565
                     15,                0.48371,                0.43901,                0.97748,                0.93502,                0.98411,                0.99425,                0.94084,                0.42214,                0.29358,                 0.8365,                0.00307,                0.00307,                0.00307
                     16,                0.46802,                0.44422,                0.98663,                0.95206,                0.98259,                0.98425,                0.91385,                0.38153,                0.29607,                0.82889,               0.002575,               0.002575,               0.002575
                     17,                0.43828,                0.40603,                 0.9711,                0.94424,                      1,                 0.9865,                0.93024,                0.39282,                0.26931,                0.83549,                0.00208,                0.00208,                0.00208
                     18,                0.43904,                0.39019,                0.98064,                0.94495,                      1,                 0.9865,                0.93682,                0.40459,                0.27651,                 0.8332,               0.001585,               0.001585,               0.001585
                     19,                0.43681,                0.39781,                0.98005,                0.95092,                      1,                0.97313,                0.93593,                0.40041,                0.26392,                 0.8282,                0.00109,                0.00109,                0.00109
